FIPS,State,County,GROC09,GROC14,PCH_GROC_09_14,GROCPTH09,GROCPTH14,PCH_GROCPTH_09_14,SUPERC09,SUPERC14,PCH_SUPERC_09_14,SUPERCPTH09,SUPERCPTH14,PCH_SUPERCPTH_09_14,CONVS09,CONVS14,PCH_CONVS_09_14,CONVSPTH09,CONVSPTH14,PCH_CONVSPTH_09_14,SPECS09,SPECS14,PCH_SPECS_09_14,SPECSPTH09,SPECSPTH14,PCH_SPECSPTH_09_14,SNAPS12,SNAPS16,PCH_SNAPS_12_16,SNAPSPTH12,SNAPSPTH16,PCH_SNAPSPTH_12_16,WICS08,WICS12,PCH_WICS_08_12,WICSPTH08,WICSPTH12,PCH_WICSPTH_08_12
01001,AL,Autauga,6,4,-33.33333333,0.110834026,0.072208683,-34.84971568,1,1,0,0.0184723,0.0180522,-2.274573517,29,30,3.448275862,0.535697793,0.541565123,1.095268775,2,2,0,0.0369447,0.0361043,-2.274573517,37.41666667,42.16666667,12.69487751,0.674004155,0.760911409,12.8941719,6,5,-16.66667,0.1191564,0.0900674,-24.41246
01003,AL,Baldwin,24,29,20.83333333,0.13377479,0.14491957,8.331001294,6,6,0,0.0334437,0.0299834,-10.34675755,119,118,-0.840336134,0.663300001,0.589672732,-11.10014614,21,26,23.80952381,0.117052941,0.12992789,10.99925256,138.3333333,198.0833333,43.19277108,0.725055471,0.949752992,30.99039041,25,27,8,0.1418746,0.1415168,-0.2521258
01005,AL,Barbour,5,5,0,0.180786058,0.185963477,2.863837542,0,1,,0,0.0371927,,14,19,35.71428571,0.506200962,0.706661212,39.60092238,2,2,0,0.072314423,0.074385391,2.863837542,34.83333333,35.16666667,0.956937799,1.280590174,1.354387316,5.762744659,6,7,16.66667,0.2010993,0.2573435,27.96833
01007,AL,Bibb,6,5,-16.66666667,0.261540473,0.222162979,-15.05598507,1,1,0,0.0435901,0.0444326,1.932817915,19,15,-21.05263158,0.828211499,0.666488936,-19.5267227,0,1,,0,0.0444326,,16.25,19.58333333,20.51282051,0.719122007,0.864873618,20.26799475,6,5,-16.66667,0.2779193,0.2212683,-20.38397
01009,AL,Blount,6,6,0,0.104637171,0.103951905,-0.654897001,1,1,0,0.0174395,0.0173253,-0.654897001,31,27,-12.90322581,0.540625381,0.467783572,-13.47361997,2,0,-100,0.0348791,0,-100,38,47.08333333,23.90350877,0.657143845,0.815945746,24.1654703,10,6,-40,0.1730283,0.1037596,-40.0332
01011,AL,Bullock,2,2,0,0.182033312,0.185804534,2.07172055,0,0,0,0,0,0,2,3,50,0.182033312,0.2787068,53.10758083,1,0,-100,0.091016656,0,-100,14.33333333,11.08333333,-22.6744186,1.368467952,1.069613331,-21.83862772,2,2,0,0.1831334,0.190949,4.267708
01013,AL,Butler,3,3,0,0.143767671,0.147812377,2.813362239,1,1,0,0.0479226,0.0492708,2.813362239,24,21,-12.5,1.150141372,1.034686638,-10.03830804,1,0,-100,0.0479226,0,-100,27.25,25.83333333,-5.198776758,1.341901807,1.291795846,-3.733951377,6,4,-33.33333,0.2974567,0.1969764,-33.77981
01015,AL,Calhoun,25,27,8,0.211214653,0.232927292,10.27989234,3,3,0,0.0253458,0.0258808,2.111011422,88,74,-15.90909091,0.743475579,0.638393319,-14.13392221,2,1,-50,0.0168972,0.0086269,-48.94449429,137.9166667,135.5833333,-1.6918429,1.175800255,1.18298709,0.611229246,22,19,-13.63636,0.1939659,0.1619834,-16.48874
01017,AL,Chambers,7,7,0,0.203583062,0.205423172,0.903861956,1,1,0,0.0290833,0.0293462,0.903861956,22,23,4.545454545,0.63983248,0.67496185,5.490401135,1,2,100,0.0290833,0.0586923,101.8077239,34.25,37.5,9.489051095,1.00546031,1.108057796,10.20403145,6,6,0,0.1740493,0.176139,1.200685
01019,AL,Cherokee,4,5,25,0.154714938,0.192034413,24.12144256,1,1,0,0.0386787,0.0384069,-0.70284595,14,18,28.57142857,0.541502282,0.691323885,27.66776949,1,1,0,0.0386787,0.0384069,-0.70284595,31,32.33333333,4.301075269,1.191345452,1.256883706,5.501196485,5,6,20,0.2048089,0.230583,12.58446
