CENSUS TRACT,Median Income,Median Income no benefits,Median Income w benefits
17031010100,37985,58029,10982
17031010201,39549,54265,15777
17031010202,38370,45000,21125
17031010300,38866,41724,14868
17031010400,39152,42318,-
17031010501,34455,39454,14375
17031010502,37500,42571,14405
17031010503,20357,41538,9640
17031010600,47549,52886,11546
17031010701,55529,68750,27604
17031010702,41161,47543,16085
17031020100,51346,60329,12050
17031020200,66831,89398,25398
17031020301,54496,63259,11410
17031020302,72572,87361,21083
17031020400,63977,72523,27244
17031020500,41432,48600,21516
17031020601,41308,56812,18198
17031020602,53234,62833,26510
17031020701,91477,99375,26042
17031020702,47063,58659,24704
17031020801,51467,57470,31161
17031020802,48067,71058,27688
17031020901,49901,56974,27981
17031020902,37405,41875,18239
17031030101,48927,53561,14951
17031030102,45086,47371,14000
17031030103,49103,49551,12813
17031030104,37586,38384,-
17031030200,65810,66944,-
17031030300,38427,42938,15985
17031030400,50781,65046,15152
17031030500,79414,83125,51660
17031030601,41675,53011,28088
17031030603,34415,41786,9466
17031030604,35096,45955,12721
17031030701,41042,50500,16450
17031030702,59414,61105,"2,500-"
17031030703,40195,53666,9579
17031030706,39308,51875,16212
17031030800,90288,93339,30849
17031030900,95958,97417,-
17031031000,81291,82418,46776
17031031100,68304,77564,6860
17031031200,40380,54849,13536
17031031300,41445,52405,10045
17031031400,69590,70022,-
17031031501,25257,53977,13981
17031031502,25317,35672,12630
17031031700,56175,75184,9397
17031031800,78558,80357,15833
17031031900,67760,68698,-
17031032100,53013,73700,15583
17031040100,85368,86500,-
17031040201,71322,73952,37155
17031040202,40011,48365,23466
17031040300,90250,98056,58106
17031040401,89063,90400,-
17031040402,82798,89042,33025
17031040600,82383,84107,-
17031040700,76915,79239,-
17031040800,76809,77813,-
17031040900,76964,76964,-
17031050100,114012,114331,-
17031050200,85671,92074,25192
17031050300,84844,90893,-
17031050500,133845,134241,-
17031050600,105513,106282,-
17031050700,124500,127500,-
17031050800,116000,123125,-
17031050900,91719,92109,-
17031051000,109130,116750,-
17031051100,136131,136845,-
17031051200,129167,129667,-
17031051300,178750,182679,-
17031051400,116364,120625,-
17031060100,92593,94954,"2,500-"
17031060200,72679,73393,-
17031060300,117415,127917,-
17031060400,122708,122604,-
17031060500,34130,62875,11942
17031060800,87723,88339,-
17031060900,59942,60954,-
17031061000,116389,116944,-
17031061100,107500,107500,-
17031061200,112292,110417,-
17031061500,125000,125260,-
17031061800,73523,74432,-
17031061901,60909,62813,-
17031061902,64508,67939,18365
17031062000,80595,81845,-
17031062100,94500,102727,8536
17031062200,119392,125515,30580
17031062300,154000,157609,-
17031062400,127059,137708,25050
17031062500,131818,139063,-
17031062600,158125,158125,-
17031062700,168352,171833,-
17031062800,143667,146429,-
17031062900,128750,129531,-
17031063000,99213,98843,-
17031063100,95365,95859,-
17031063200,65426,65745,-
17031063301,58371,63665,8784
17031063302,78720,78720,-
17031063303,81705,83438,-
17031063400,97305,97305,-
17031070101,64968,68116,-
17031070102,70057,71023,-
17031070103,58914,58914,-
17031070200,92441,98750,46250
17031070300,143221,144760,-
17031070400,113409,153571,12337
17031070500,155729,161429,-
17031070600,157125,157250,-
17031070700,120192,136042,-
17031071000,138934,139191,-
17031071100,119432,119432,-
17031071200,109191,113167,-
17031071300,112788,112788,-
17031071400,93529,96225,11797
17031071500,94598,94598,-
17031071600,142583,151875,18611
17031071700,162054,164000,-
17031071800,141806,172031,13456
17031080100,111372,111989,-
17031080201,87221,89706,26328
17031080202,83806,84014,-
17031080300,122479,126250,-
17031080400,36927,98333,10859
17031081000,60566,66078,9167
17031081100,77267,90231,8578
17031081201,98186,98460,-
17031081202,133079,133079,-
17031081300,84223,84223,-
17031081401,67313,69659,-
17031081402,111970,114667,-
17031081403,121318,122297,-
17031081500,103664,104589,-
17031081600,116897,117165,-
17031081700,100708,101736,9556
17031081800,128243,128243,-
17031081900,158375,224250,13750
17031090100,95990,97955,-
17031090200,103733,104184,-
17031090300,97102,100083,-
17031100100,79665,85208,54886
17031100200,74201,82941,"2,500-"
17031100300,83197,84283,-
17031100400,93778,94517,-
17031100500,75759,80313,-
17031100600,75601,80352,58500
17031100700,81458,81806,-
17031110100,79122,83661,-
17031110200,81731,82703,-
17031110300,81014,84872,41078
17031110400,69736,70316,-
17031110501,86512,89864,40114
17031110502,59875,67610,46705
17031120100,133622,134583,-
17031120200,105833,112098,-
17031120300,123818,124459,-
17031120400,78750,87585,39886
17031130100,43438,46995,16667
17031130200,79167,78906,105893
17031130300,56882,67218,36250
17031140100,42868,51010,35109
17031140200,43125,53446,25139
17031140301,46534,47303,31071
17031140302,72713,79052,30057
