CENSUS TRACT,Total At/Above poverty level,Total Below poverty level,At/Above poverty level receiving benefits,At/Above not receiving benefits,Below poverty level receiving,Below Poverty Level not receiving
17031010100,1567,749,112,1455,321,428
17031010201,1979,709,323,1656,528,181
17031010202,889,213,147,742,85,128
17031010300,2571,466,265,2306,205,261
17031010400,1518,420,155,1363,122,298
17031010501,1967,458,251,1716,215,243
17031010502,1153,355,105,1048,75,280
17031010503,578,390,83,495,213,177
17031010600,2178,697,118,2060,247,450
17031010701,1196,263,144,1052,129,134
17031010702,1632,428,127,1505,279,149
17031020100,1352,204,116,1236,134,70
17031020200,1890,245,264,1626,88,157
17031020301,1712,313,100,1612,176,137
17031020302,1405,331,74,1331,159,172
17031020400,1403,266,105,1298,57,209
17031020500,1676,459,335,1341,258,201
17031020601,1626,353,277,1349,339,14
17031020602,1111,310,116,995,135,175
17031020701,595,36,34,561,23,13
17031020702,1960,383,449,1511,226,157
17031020801,1841,321,212,1629,223,98
17031020802,1863,460,420,1443,331,129
17031020901,1483,388,212,1271,261,127
17031020902,1271,345,192,1079,225,120
17031030101,1709,238,177,1532,105,133
17031030102,1480,288,45,1435,61,227
17031030103,768,148,15,753,13,135
17031030104,786,286,49,737,58,228
17031030200,2218,287,24,2194,25,262
17031030300,1129,353,150,979,144,209
17031030400,1091,216,113,978,127,89
17031030500,2816,102,104,2712,15,87
17031030601,1663,313,334,1329,154,159
17031030603,1090,325,56,1034,179,146
17031030604,1625,504,94,1531,205,299
17031030701,753,148,46,707,105,43
17031030702,1211,218,17,1194,52,166
17031030703,1290,473,102,1188,294,179
17031030706,1781,227,64,1717,98,129
17031030800,1789,160,66,1723,30,130
17031030900,1277,118,109,1168,6,112
17031031000,1912,93,102,1810,21,72
17031031100,1971,342,20,1951,74,268
17031031200,1877,859,318,1559,625,234
17031031300,3288,801,182,3106,471,330
17031031400,2760,255,44,2716,30,225
17031031501,1156,694,303,853,450,244
17031031502,1499,879,408,1091,533,346
17031031700,2754,777,107,2647,511,266
17031031800,881,85,29,852,21,64
