CENSUS TRACT,White receiving,White not receiving,Black receiving,Black not receiving,American Indian receiving,American Indian not receiving,Asian receiving,Asian not receiving,Pacific Islander receiving,Pacific Islander not receiving,Other race receiving ,Other race not receiving,Two or more races receiving ,Two or more races not receiving,Hispanic/Latino receiving,Hispanic/Latino not receiving
17031010100,92,1066,279,724,0,0,0,28,0,0,16,21,46,44,50,165
17031010201,273,1106,414,500,0,15,0,51,0,0,77,128,87,37,140,373
17031010202,100,325,86,345,0,14,23,46,0,0,23,123,0,17,63,188
17031010300,164,1720,166,662,0,0,12,16,0,0,85,75,43,94,62,356
17031010400,208,1240,69,254,0,0,0,89,0,0,0,17,0,61,8,85
17031010501,337,1115,114,562,0,0,0,64,0,0,0,120,15,98,0,231
17031010502,99,863,75,363,0,0,6,63,0,0,0,30,0,9,11,74
17031010503,109,529,71,59,0,0,85,37,0,0,0,8,31,39,6,48
17031010600,227,1729,138,398,0,0,0,89,0,0,0,182,0,112,80,404
17031010701,148,858,58,181,0,0,52,98,0,0,0,40,15,9,82,140
17031010702,162,1094,141,371,0,0,37,75,0,0,40,104,26,10,130,380
17031020100,30,675,85,308,0,0,59,118,0,0,65,131,11,74,76,204
17031020200,77,1227,147,269,0,0,118,228,0,0,10,45,0,14,31,205
17031020301,233,1474,0,70,0,12,17,143,0,0,26,32,0,18,35,98
17031020302,122,1193,68,92,7,0,27,146,0,0,0,18,9,54,61,140
17031020400,78,1016,41,254,0,0,36,158,0,0,0,41,7,38,21,222
17031020500,221,634,68,313,0,0,213,391,0,0,16,102,75,102,98,384
17031020601,254,962,75,51,0,116,287,104,0,0,0,74,0,56,0,78
17031020602,100,729,60,52,0,0,89,280,0,0,0,57,2,52,48,136
17031020701,15,462,29,11,0,5,7,86,0,0,6,0,0,10,6,65
17031020702,379,1180,46,176,0,0,196,263,0,0,54,49,0,0,95,313
17031020801,262,1307,16,26,0,0,157,272,0,0,0,35,0,87,17,412
17031020802,241,867,124,181,6,37,250,412,0,0,0,38,130,37,62,301
17031020901,170,750,79,259,0,0,145,281,0,0,23,51,56,57,89,272
17031020902,224,728,65,157,0,0,104,271,0,0,24,24,0,19,74,208
17031030101,152,1071,130,244,0,0,0,237,0,0,0,51,0,62,0,301
17031030102,46,1015,38,253,0,20,15,216,0,0,7,119,0,39,7,115
17031030103,15,532,13,229,0,0,0,111,0,7,0,9,0,0,0,122
17031030104,86,666,0,100,0,0,21,160,0,0,0,25,0,14,16,65
17031030200,39,2163,0,99,0,0,10,79,0,0,0,67,0,48,10,265
17031030300,186,765,43,108,0,14,9,190,0,0,38,36,18,75,113,241
17031030400,180,939,27,9,0,27,33,40,0,0,0,24,0,28,72,294
17031030500,83,2358,21,77,0,0,0,215,0,0,0,67,15,82,67,341
17031030601,195,1103,162,204,0,0,131,146,0,0,0,0,0,35,55,178
17031030603,114,686,85,339,0,24,36,82,0,0,0,12,0,37,32,151
17031030604,125,1031,157,326,0,0,0,360,0,0,0,0,17,113,0,129
17031030701,70,479,57,139,0,11,0,91,0,0,0,25,24,5,15,56
17031030702,30,877,9,66,0,0,8,393,0,0,0,0,22,24,0,49
17031030703,285,860,104,298,0,0,0,88,0,0,7,27,0,94,15,149
17031030706,61,1330,71,233,0,0,0,283,0,0,0,0,30,0,0,111
17031030800,27,1611,16,42,0,0,0,189,0,0,53,0,0,11,67,136
17031030900,51,1116,40,24,0,0,24,81,0,0,0,23,0,36,9,93
17031031000,88,1577,35,55,0,0,0,119,0,0,0,26,0,105,29,239
17031031100,87,1798,0,30,0,0,7,220,0,0,0,50,0,121,43,196
17031031200,491,1291,248,274,17,0,117,118,0,0,55,25,15,85,328,209
17031031300,171,2312,164,519,0,18,304,496,0,0,14,45,0,46,74,216
17031031400,40,2196,18,269,0,0,16,344,0,0,0,25,0,107,0,202
17031031501,229,557,250,235,0,0,197,230,0,0,50,28,27,47,130,66
17031031502,375,793,459,521,0,0,84,46,0,0,0,54,23,23,79,176
17031031700,235,2114,313,460,23,42,0,232,0,0,47,46,0,19,62,223
17031031800,39,788,0,18,0,0,0,62,0,0,6,10,5,38,12,88
17031031900,31,995,0,86,13,0,0,64,0,0,0,19,8,44,23,100
17031032100,613,2690,48,75,0,0,0,109,0,0,0,96,31,188,167,444
17031040100,89,1273,0,68,0,0,0,81,0,0,0,59,0,33,48,144
17031040201,62,2265,22,15,0,0,32,217,0,0,34,195,52,68,98,461
17031040202,335,1576,0,79,0,0,143,407,0,0,48,154,48,171,37,454
17031040300,50,660,0,31,0,0,0,258,0,0,0,0,0,63,0,66
17031040401,33,1020,0,65,0,0,0,126,0,0,0,50,5,43,0,228
17031040402,113,2084,0,33,0,0,0,138,0,0,50,0,0,128,105,152
17031040600,12,1062,0,22,0,0,0,17,0,0,0,9,0,9,0,112
17031040700,36,1296,23,61,0,0,6,34,0,0,33,47,0,28,33,147
17031040800,31,658,0,22,0,0,0,42,0,0,0,17,0,37,1,72
17031040900,0,879,0,25,0,0,0,17,0,0,0,11,0,31,0,18
17031050100,0,995,0,18,0,0,0,50,0,0,0,11,11,47,0,44
17031050200,139,1894,17,16,0,0,0,98,0,0,0,11,0,31,35,148
17031050300,58,872,0,0,0,0,0,120,0,0,0,32,0,13,44,189
17031050500,25,1907,0,0,0,0,0,107,0,0,0,14,0,62,0,213
17031050600,24,1025,0,2,0,0,0,28,0,0,0,0,0,13,0,61
17031050700,23,625,0,0,5,0,0,22,0,0,0,0,0,5,0,25
17031050800,13,554,0,14,0,0,0,12,0,0,8,0,0,7,8,44
17031050900,5,449,0,5,0,0,0,53,0,0,0,13,0,15,0,62
17031051000,18,599,0,35,0,0,0,39,0,0,0,7,5,11,6,160
17031051100,12,533,0,0,0,0,0,26,0,0,0,15,0,19,0,83
17031051200,6,543,0,21,0,0,0,6,0,0,0,0,0,20,6,21
17031051300,9,1002,0,26,0,0,0,54,0,0,0,9,0,14,0,72
17031051400,20,645,0,28,0,0,9,50,0,0,0,11,0,15,0,63
17031060100,42,1037,9,58,0,0,0,39,0,0,0,16,0,33,42,49
17031060200,10,1005,0,23,0,0,15,11,0,9,9,10,0,29,9,155
