Code,Store Name,Address,Store Type
UK,Save More,"421 Prairie Ave
Providence, RI
(41.80272855700048, -71.41366023099965)",
SP,TALHO & CARNICARIA CENTRAL MEAT M,"113 Gano St
Providence, RI
(41.82226161700049, -71.38981835699963)",Specialty
CS,221 Academy Ave Meat Market,"221 Academy Ave
Providence, RI
(41.830732584000486, -71.44422792499967)",Corner Store
CS,Dima Mini Mart,"29B Elmwood Ave
Providence, RI
(41.81188179300045, -71.42272731299965)",Corner Store
CS,MORENO MARKET,"227 Waldo St
Providence, RI
(41.80729157200045, -71.43810114299964)",Corner Store
CS,Yaneth Enterprise Llc,"196 Pocasset Ave
Providence, RI
(41.8098319610005, -71.45467157399963)",Corner Store
CG,7-ELEVEN 33506A,"141 Weybosset St
Providence, RI
(41.82284384000047, -71.41126890899966)",Chain Store or Gas Station
CG,Gulf Express,"255 Reservoir Ave
Providence, RI
(41.78970625800048, -71.42953551999966)",Chain Store or Gas Station
CS,Admiral Mart Inc,"649 Admiral St
Providence, RI
(41.848944522000465, -71.43817594499967)",Corner Store
CS,MEKONG MARKET,"314 Broad St
Providence, RI
(41.81450235700049, -71.42108048399967)",Corner Store
CS,Jacobos Market,"75 Messer St
Providence, RI
(41.81387033700048, -71.43640717799963)",Corner Store
CS,Regency Mart Inc,"3 Regency Plaza
Providence, RI
(41.821278373000496, -71.41732037899965)",Corner Store
CS,JAMAL & JAMEL VARIETY STORE,"750 CRANSTON ST
Providence, RI
(41.80439427900046, -71.43845253799964)",Corner Store
GR,STOP & SHOP 722,"850 Manton Ave
Providence, RI
(41.83300898600049, -71.46489006899964)",Grocery
CG,CVS Pharmacy  2049,"100 Francis St
Providence, RI
(41.829196384000454, -71.41531283699965)",Chain Store or Gas Station
CS,La Gran Via,"417 Hartford Ave
Providence, RI
(41.81842517000047, -71.45758201099966)",Corner Store
CS,AEW Market Inc,"385 Westminster St
Providence, RI
(41.821309665000456, -71.41492037499967)",Corner Store
CG,Thurbers Avenue Services Inc,"1025 Eddy St
Providence, RI
(41.799353263000455, -71.40570589499964)",Chain Store or Gas Station
CS,Del Rosario Mini Market,"693 Chalkstone Ave
Providence, RI
(41.8342975650005, -71.42993627599964)",Corner Store
CS,El Pulgarcito Grocery Convenience Store,"128 Academy Ave
Providence, RI
(41.828188713000486, -71.44389173399964)",Corner Store
SP,MARIO'S BAKERY,"684 Douglas Ave
Providence, RI
(41.84833167500045, -71.43167668799964)",Specialty
CS,Tienda Y Panaderia El Quiche LLC,"1076 Chalkstone Ave
Providence, RI
(41.83232493000048, -71.44366127399962)",Corner Store
SP,Soares Fish Market,"930 Narragansett Blvd
Providence, RI
(41.789628620000485, -71.39614229799963)",Specialty
CG,Hess 39209,"440 Smithfield Ave
Providence, RI
(41.85810865900049, -71.41088257799964)",Chain Store or Gas Station
CS,TOOFS MARKET,"611 Charles St
Providence, RI
(41.8530097200005, -71.42034769699967)",Corner Store
CS,Carcieri's Stop And Compare,"567 Charles St
Providence, RI
(41.85121350100047, -71.42008503999966)",Corner Store
SP,GUATEMALA BAKERY,"241 Union Ave
Providence, RI
(41.8075806380005, -71.44490795599967)",Specialty
CS,COLBEA ENTERPRISES LLC,"457 Benefit St
Providence, RI
(41.81878224600047, -71.40018847499965)",Corner Store
CS,BUS STOP MARKET,"712 Admiral St
Providence, RI
(41.84974936500049, -71.44030246199964)",Corner Store
CG,Shabo Inc  DBA/ 7 Eleven (33413B) 33413B,"775 Cranston St
Providence, RI
(41.80340345100046, -71.43999664799964)",Chain Store or Gas Station
CS,"ASIAN STAR MARKET, INC.","678 Elmwood Ave
Providence, RI
(41.793639105000466, -71.42372215799963)",Corner Store
CG,Hess Express 39213,"442 Manton Ave
Providence, RI
(41.82534071100048, -71.45459796899962)",Chain Store or Gas Station
CS,P-Town Market,"288 Chad Brown St
Providence, RI
(41.84148388900047, -71.42247424199962)",Corner Store
CS,SAM'S FOOD STORE 1033,"1348 Chalkstone Ave
Providence, RI
(41.832325753000475, -71.45360233399964)",Corner Store
CG,WALGREENS 10256,"1140 Main St
Providence, RI
(41.85153652100047, -71.40229321299967)",Chain Store or Gas Station
CS,Charles Variety,"1308 Eddy St
Providence, RI
(41.78958709300048, -71.40293441999967)",Corner Store
CS,Home Plate Market,"247 Lockwood St
Providence, RI
(41.813405161000446, -71.41676878199962)",Corner Store
CG,Family Dollar 8177,"541 Smith St
Providence, RI
(41.8361865870005, -71.42885293999967)",Chain Store or Gas Station
SP,Las Delicias Bakery,"964B Atwells Ave
Providence, RI
(41.82510612900046, -71.44958536099966)",Specialty
CS,GALLUP MARKET,"160 Gallup St
Providence, RI
(41.799746936000474, -71.41378421799965)",Corner Store
