CENSUS TRACT,Total HH,HH above poverty level,HH below Poverty Level,HH receiving benefits,HH not receiving benefits,HH White alone ,HH Black Alone,HH American Indian alone,HH Asian alone,HH Pacific Islander alone,HH Other race alone,HH Two or more races,HH Hispanic or Latino origin (any race),Total Median Income
17031010100,2316,1567,749,433,1883,1158,1003,0,28,0,37,90,215,37985
17031010201,2688,1979,709,851,1837,1379,914,15,51,0,205,124,513,39549
17031010202,1102,889,213,232,870,425,431,14,69,0,146,17,251,38370
17031010300,3037,2571,466,470,2567,1884,828,0,28,0,160,137,418,38866
17031010400,1938,1518,420,277,1661,1448,323,0,89,0,17,61,93,39152
17031010501,2425,1967,458,466,1959,1452,676,0,64,0,120,113,231,34455
17031010502,1508,1153,355,180,1328,962,438,0,69,0,30,9,85,37500
17031010503,968,578,390,296,672,638,130,0,122,0,8,70,54,20357
17031010600,2875,2178,697,365,2510,1956,536,0,89,0,182,112,484,47549
17031010701,1459,1196,263,273,1186,1006,239,0,150,0,40,24,222,55529
17031010702,2060,1632,428,406,1654,1256,512,0,112,0,144,36,510,41161
17031020100,1556,1352,204,250,1306,705,393,0,177,0,196,85,280,51346
17031020200,2135,1890,245,352,1783,1304,416,0,346,0,55,14,236,66831
17031020301,2025,1712,313,276,1749,1707,70,12,160,0,58,18,133,54496
17031020302,1736,1405,331,233,1503,1315,160,7,173,0,18,63,201,72572
17031020400,1669,1403,266,162,1507,1094,295,0,194,0,41,45,243,63977
17031020500,2135,1676,459,593,1542,855,381,0,604,0,118,177,482,41432
17031020601,1979,1626,353,616,1363,1216,126,116,391,0,74,56,78,41308
17031020602,1421,1111,310,251,1170,829,112,0,369,0,57,54,184,53234
17031020701,631,595,36,57,574,477,40,5,93,0,6,10,71,91477
17031020702,2343,1960,383,675,1668,1559,222,0,459,0,103,0,408,47063
17031020801,2162,1841,321,435,1727,1569,42,0,429,0,35,87,429,51467
17031020802,2323,1863,460,751,1572,1108,305,43,662,0,38,167,363,48067
17031020901,1871,1483,388,473,1398,920,338,0,426,0,74,113,361,49901
17031020902,1616,1271,345,417,1199,952,222,0,375,0,48,19,282,37405
17031030101,1947,1709,238,282,1665,1223,374,0,237,0,51,62,301,48927
17031030102,1768,1480,288,106,1662,1061,291,20,231,0,126,39,122,45086
17031030103,916,768,148,28,888,547,242,0,111,7,9,0,122,49103
17031030104,1072,786,286,107,965,752,100,0,181,0,25,14,81,37586
17031030200,2505,2218,287,49,2456,2202,99,0,89,0,67,48,275,65810
17031030300,1482,1129,353,294,1188,951,151,14,199,0,74,93,354,38427
17031030400,1307,1091,216,240,1067,1119,36,27,73,0,24,28,366,50781
17031030500,2918,2816,102,119,2799,2441,98,0,215,0,67,97,408,79414
17031030601,1976,1663,313,488,1488,1298,366,0,277,0,0,35,233,41675
17031030603,1415,1090,325,235,1180,800,424,24,118,0,12,37,183,34415
17031030604,2129,1625,504,299,1830,1156,483,0,360,0,0,130,129,35096
17031030701,901,753,148,151,750,549,196,11,91,0,25,29,71,41042
17031030702,1429,1211,218,69,1360,907,75,0,401,0,0,46,49,59414
17031030703,1763,1290,473,396,1367,1145,402,0,88,0,34,94,164,40195
17031030706,2008,1781,227,162,1846,1391,304,0,283,0,0,30,111,39308
17031030800,1949,1789,160,96,1853,1638,58,0,189,0,53,11,203,90288
17031030900,1395,1277,118,115,1280,1167,64,0,105,0,23,36,102,95958
17031031000,2005,1912,93,123,1882,1665,90,0,119,0,26,105,268,81291
17031031100,2313,1971,342,94,2219,1885,30,0,227,0,50,121,239,68304
17031031200,2736,1877,859,943,1793,1782,522,17,235,0,80,100,537,40380
17031031300,4089,3288,801,653,3436,2483,683,18,800,0,59,46,290,41445
17031031400,3015,2760,255,74,2941,2236,287,0,360,0,25,107,202,69590
17031031501,1850,1156,694,753,1097,786,485,0,427,0,78,74,196,25257
17031031502,2378,1499,879,941,1437,1168,980,0,130,0,54,46,255,25317
17031031700,3531,2754,777,618,2913,2349,773,65,232,0,93,19,285,56175
17031031800,966,881,85,50,916,827,18,0,62,0,16,43,100,78558
17031031900,1260,1174,86,52,1208,1026,86,13,64,0,19,52,123,67760
