data__id,data__name,data__description,data__sequence,data__report,data__unit
kount,Farms,Estimated number of farms.,10,Farm Business Balance Sheet,Number
atot,Farm assets,"Total assets represents the survey respondents' estimated market value on December 31 of all capital assets owned by the farm operation.  For operations where the operator dwelling is considered part of the farm and located on the farm, the value of the dwelling is included.",20,Farm Business Balance Sheet,Dollars per farm
actot,Assets: Current,"Current assets are those assets that will be realized in cash, sold or consumed in the production process within one year.",30,Farm Business Balance Sheet,Dollars per farm
acliv,Assets: Livestock inventory,"The market value of livestock and poultry on hand that are owned by the farm operation, excluding animals held for breeding purposes.  Animals that are owned for pleasure are not included.  Livestock or poultry that is owned by the operation, but being raised by another operation under a contract are included.",40,Farm Business Balance Sheet,Dollars per farm
accrop,Assets: Crop inventory,"The market value of all crops owned by the operation whether stored on or off the farm. Crops under Commodity Credit Corporation loans are not included; however, crops in storage which have been redeemed from CCC loan are included.",50,Farm Business Balance Sheet,Dollars per farm
acinpt,Assets: Purchased inputs,"The value of unused supplies of purchased inputs such as seed, feed, chemicals, fuels, and fertilizers.",60,Farm Business Balance Sheet,Dollars per farm
acgrow,Assets: Cash invested in growing crops,Represents the amount of sunk costs for cover crops or crops not yet harvested.,70,Farm Business Balance Sheet,Dollars per farm
acprpins,Assets: Prepaid insurance,Outlays for insurance coverage made in the past that are not completely used up.,80,Farm Business Balance Sheet,Dollars per farm
acothr,Assets: Other,"The value of all stock in Federal Land Banks, Production Credit Associations, Agricultural Credit Associations, and other farm cooperatives; accounts receivable (including Government payments due); hedging account balances; certificates of deposit; checking and savings balances; and any other financial assets of the farm business.",90,Farm Business Balance Sheet,Dollars per farm
antot,Assets: Non-current,Non-current assets are comprised of working assets that support the production process and farm real estate.,100,Farm Business Balance Sheet,Dollars per farm
aninvest,Assets: Investment in cooperatives,Estimated market value of all stock in the Farm Credit System and other farm cooperatives.,110,Farm Business Balance Sheet,Dollars per farm
anreale,Assets: Land and buildings,"Estimated market value of all land and buildings owned by the farm operation.  Any other dwellings, such as those provided to hired labor, are also included if owned by the operation and located on the farm.",120,Farm Business Balance Sheet,Dollars per farm
anequip,Assets: Farm equipment,"Estimated market value of the farm share of trucks, cars, tractors, machinery, tools, equipment and implements owned by the operation.",140,Farm Business Balance Sheet,Dollars per farm
anbreed,Assets: Breeding animals,Estimated market value of all livestock animals held for breeding purposes.,150,Farm Business Balance Sheet,Dollars per farm
dtot,Farm liabilities,"Total liabilities are composed of any monetary obligations of the farm operation on December 31. The amount reported includes principal due and any unpaid interest.  Debts for nonfarm purposes, even if farm or ranch assets are used as collateral, are excluded.",160,Farm Business Balance Sheet,Dollars per farm
lctot,Liabilities: Current,Current liabilities are the debts a farm business owes which must be paid within one year.,170,Farm Business Balance Sheet,Dollars per farm
dshort,Liabilities: Notes payable within one year,The amount of loans outstanding on December 31 that are due for full repayment within one year.,180,Farm Business Balance Sheet,Dollars per farm
lcterm,Liabilities: Current portion of term debt,The current portion of long-term debt is the amount of principal that will be due within one year of the date of the balance sheet.,190,Farm Business Balance Sheet,Dollars per farm
lcint,Liabilities: Accrued interest,Estimated as the amount of interest that has accumulated since the previous interest payment.,200,Farm Business Balance Sheet,Dollars per farm
