FMID,MarketName,County,State,zip,Longitude,Latitude,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Cheese,Eggs,Seafood,Herbs,Vegetables,Meat,Nuts,Poultry,Beans,Fruits,Grains,updateTime
1018965,61st Street Farmers Market,Cook,Illinois,60637,-87.590591,41.784081,Y,N,N,N,Y,-,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,2/23/2018 16:18
1009792,Alsip Farmers Market,Cook,Illinois,60803,-87.727806,41.664913,Y,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,4/4/2014 19:03
1003516,Andersonville Farmers Market,Cook,Illinois,60640,-87.668602,41.981747,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,6/7/2020 18:00
1003571,Arlington Heights Farmers Market,Cook,Illinois,60004,-87.980797,42.085999,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,2009
1002490,Ashburn (Chicago) Farmers Market,Cook,Illinois,60629,-87.625999,41.885101,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,2009
1002491,Austin (Chicago) Farmers Market,Cook,Illinois,60644,-87.625999,41.885101,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,2009
1002269,Barrington Farmers Market,Cook,Illinois,60010,-88.134804,42.152401,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,May 21 2010  9:57PM
1006441,Bartlett Farmers Market,Cook,Illinois,60103,-88.184601,41.989899,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,Apr 16 2010  9:57AM
1010832,Berwyn Township Farmer's Market,Cook,Illinois,60402,-87.788292,41.843311,Y,N,N,N,N,-,Y,Y,N,N,Y,Y,N,N,N,Y,N,2/20/2015 9:45
1006203,Bronzeville (Chicago) Farmers Market,Cook,Illinois,60602,-87.626701,41.844799,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,2009
