FIPS,State,County,"Grocery stores, 2014","Grocery stores/1,000 pop, 2014","Supercenters & club stores, 2014","Supercenters & club stores/1,000 pop, 2014","Convenience stores, 2014","Convenience stores/1,000 pop, 2014","Specialized food stores, 2014","Specialized food stores/1,000 pop, 2014","SNAP-authorized stores, 2012","SNAP-authorized stores/1,000 pop, 2012","WIC-authorized stores, 2012","WIC-authorized stores/1,000 pop, 2012"
17001,IL,Adams,10,0.149280468,2,0.029856099999999997,30,0.447841404,4,0.05971219999999999,49.66666667,0.739120298,10,0.1488162
17003,IL,Alexander,2,0.266951415,0,0.0,4,0.53390283,0,0.0,6.0,0.774393392,2,0.2581311
17005,IL,Bond,1,0.0579072,0,0.0,11,0.636979559,1,0.0579072,17.16666667,0.972946422,3,0.1700295
17007,IL,Boone,5,0.092817762,1,0.0185636,21,0.389834599,3,0.055690699999999996,28.83333333,0.5345445560000001,7,0.1297738
17009,IL,Brown,2,0.292740047,0,0.0,3,0.43911007,0,0.0,4.0,0.5785363029999999,1,0.14463410000000002
17011,IL,Bureau,5,0.14775413699999998,1,0.0295508,21,0.620567376,1,0.0295508,25.08333333,0.730802475,5,0.1456749
17013,IL,Calhoun,3,0.605326877,0,0.0,0,0.0,0,0.0,5.0,0.997207818,1,0.19944160000000002
17015,IL,Carroll,3,0.20387359800000002,0,0.0,9,0.611620795,1,0.06795786599999999,10.41666667,0.693935558,3,0.19985350000000002
17017,IL,Cass,5,0.38005472799999995,1,0.076010946,11,0.836120401,0,0.0,15.5,1.162093267,5,0.3748688
17019,IL,Champaign,35,0.168973558,7,0.0337947,68,0.32829148399999997,10,0.0482782,127.66666670000001,0.628045941,35,0.1721797
17021,IL,Christian,7,0.206538416,1,0.0295055,21,0.619615248,0,0.0,31.33333333,0.904594184,9,0.2598302
17023,IL,Clark,3,0.185414091,1,0.061804700000000004,7,0.43263288,2,0.123609394,13.25,0.8174470970000001,4,0.24677649999999998
17025,IL,Clay,2,0.147928994,1,0.073964497,7,0.517751479,1,0.073964497,15.08333333,1.095694707,5,0.36321370000000003
17027,IL,Clinton,9,0.23773674600000003,1,0.0264152,23,0.607549462,3,0.079245582,36.58333333,0.961176357,10,0.2627361
17029,IL,Coles,8,0.150037509,2,0.0375094,17,0.318829707,2,0.0375094,36.16666667,0.6740595779999999,11,0.20501350000000002
17031,IL,Cook,1493,0.284573053,45,0.0085772,1348,0.256935348,417,0.079482226,3740.583333,0.715031993,926,0.17700970000000002
17033,IL,Crawford,5,0.25782498800000003,1,0.051565,8,0.41251998100000004,0,0.0,14.41666667,0.7355442179999999,3,0.1530612
17035,IL,Cumberland,3,0.276931598,0,0.0,5,0.461552663,0,0.0,8.0,0.7293946020000001,3,0.273523
17037,IL,DeKalb,10,0.09482088300000001,1,0.0094821,42,0.39824771,1,0.0094821,54.16666667,0.5173313979999999,13,0.1241595
17039,IL,De Witt,3,0.184229919,0,0.0,7,0.429869811,0,0.0,14.08333333,0.856963206,5,0.3042473
17041,IL,Douglas,10,0.5027904870000001,0,0.0,11,0.553069536,4,0.201116195,17.33333333,0.8730838329999999,3,0.15111070000000001
17043,IL,DuPage,169,0.181192828,13,0.0139379,302,0.32378836699999997,78,0.083627459,401.4166667,0.432567123,146,0.15732979999999996
17045,IL,Edgar,3,0.168152009,1,0.056050699999999995,10,0.560506698,0,0.0,12.0,0.659666868,4,0.219889
17047,IL,Edwards,3,0.45337766399999996,0,0.0,5,0.755629439,0,0.0,8.0,1.196888091,2,0.299222
17049,IL,Effingham,7,0.203962704,1,0.0291375,25,0.728438228,1,0.0291375,23.91666667,0.696203146,6,0.1746572
17051,IL,Fayette,5,0.228623685,1,0.04572469999999999,10,0.457247371,1,0.04572469999999999,17.41666667,0.7911631990000001,6,0.2725538
17053,IL,Ford,3,0.21917007600000002,0,0.0,8,0.584453536,0,0.0,12.33333333,0.880449267,3,0.21416329999999997
17055,IL,Franklin,5,0.126868133,1,0.0253736,27,0.68508792,0,0.0,40.83333333,1.036194923,11,0.2791382
17057,IL,Fulton,5,0.13886188800000002,0,0.0,20,0.5554475520000001,1,0.0277724,28.58333333,0.779878675,8,0.21827510000000003
17059,IL,Gallatin,0,0.0,0,0.0,5,0.945000945,0,0.0,4.666666667,0.8594229590000001,0,0.0
17061,IL,Greene,5,0.37218996600000004,0,0.0,9,0.669941938,1,0.074437993,11.66666667,0.859359654,5,0.368297
17063,IL,Grundy,5,0.099157164,1,0.019831400000000002,18,0.35696579100000003,4,0.079325731,30.58333333,0.608248311,7,0.13921760000000002
17065,IL,Hamilton,1,0.120540019,0,0.0,3,0.36162005799999997,2,0.241080039,8.166666667000001,0.97570689,2,0.23894859999999998
17067,IL,Hancock,4,0.215470804,0,0.0,14,0.754147813,1,0.053867700000000004,22.83333333,1.2086884409999998,5,0.2646763
17069,IL,Hardin,1,0.242189392,0,0.0,4,0.968757568,0,0.0,4.0,0.939408173,2,0.4697041
17071,IL,Henderson,2,0.28918449999999996,0,0.0,5,0.722961249,0,0.0,5.083333333,0.721756827,2,0.2839699
17073,IL,Henry,9,0.181323663,1,0.020147099999999998,28,0.564118062,2,0.0402941,40.16666667,0.8008506959999999,11,0.2193201
17075,IL,Iroquois,8,0.277017902,1,0.0346272,13,0.45015409100000003,0,0.0,23.91666667,0.817943456,7,0.23939810000000003
17077,IL,Jackson,14,0.234596243,2,0.033513699999999993,20,0.33513749,3,0.0502706,42.33333333,0.704721635,12,0.19976359999999999
17079,IL,Jasper,1,0.10391769699999999,0,0.0,4,0.415670789,0,0.0,7.083333333,0.7367727620000001,2,0.20803000000000002
17081,IL,Jefferson,10,0.25951108100000003,1,0.025951099999999998,15,0.389266622,0,0.0,33.58333333,0.867338154,7,0.1807851
17083,IL,Jersey,4,0.177218555,1,0.0443046,7,0.310132471,2,0.08860927699999999,12.0,0.527658078,4,0.175886
17085,IL,Jo Daviess,4,0.179742968,1,0.044935699999999995,11,0.49429316100000004,3,0.134807226,8.5,0.37695685,4,0.1773915
17087,IL,Johnson,2,0.15871756199999998,0,0.0,5,0.396793905,0,0.0,8.083333332999999,0.6334900729999999,2,0.15673979999999998
17089,IL,Kane,80,0.151714564,10,0.0189643,133,0.252225463,40,0.075857282,227.83333330000002,0.43605550600000004,75,0.1435442
17091,IL,Kankakee,24,0.215488215,3,0.026936,48,0.430976431,6,0.0538721,83.41666667,0.737939372,18,0.1592357
17093,IL,Kendall,9,0.074165637,4,0.0329625,29,0.238978162,11,0.09064688900000001,44.08333333,0.373255437,19,0.16087379999999998
17095,IL,Knox,10,0.192052853,1,0.019205299999999998,16,0.307284565,1,0.019205299999999998,38.25,0.732099451,9,0.17225870000000001
17097,IL,Lake,114,0.161659477,12,0.017016800000000002,205,0.29070344600000003,43,0.060976800000000005,313.75,0.446860935,128,0.182305
17099,IL,LaSalle,21,0.188779317,3,0.0269685,59,0.530379986,7,0.062926439,90.75,0.803289282,23,0.2035885
17101,IL,Lawrence,0,0.0,1,0.060536400000000004,8,0.48429081700000004,0,0.0,9.0,0.542038063,3,0.1806794
17103,IL,Lee,6,0.172736433,1,0.0287894,19,0.546998704,1,0.0287894,26.66666667,0.76110017,8,0.22833009999999998
17105,IL,Livingston,8,0.21106508699999998,1,0.026383099999999996,28,0.738727805,1,0.026383099999999996,34.16666667,0.8840703459999999,8,0.2070018
17107,IL,Logan,5,0.168089827,1,0.033618,11,0.36979762,2,0.067235931,23.66666667,0.788547185,5,0.1665945
17109,IL,McDonough,6,0.188205772,1,0.031367599999999995,16,0.501882058,1,0.031367599999999995,26.5,0.814457387,7,0.2151397
17111,IL,McHenry,45,0.146444808,11,0.0357976,88,0.286380958,25,0.081358227,110.91666670000001,0.359949591,35,0.1135829
17113,IL,McLean,28,0.16086314599999998,4,0.0229804,68,0.39066764,8,0.045960900000000006,113.08333329999999,0.656388884,27,0.15672070000000002
17115,IL,Macon,16,0.147669589,3,0.027688,49,0.45223811700000005,9,0.083064144,91.66666667,0.832410115,30,0.2724251
17117,IL,Macoupin,11,0.23679848399999998,1,0.021527099999999997,27,0.581232644,3,0.064581405,38.0,0.80455633,10,0.21172539999999998
17119,IL,Madison,41,0.153811525,5,0.0187575,116,0.43517407,19,0.071278511,215.33333330000002,0.803833514,63,0.23517729999999998
17121,IL,Marion,4,0.103704856,1,0.0259262,24,0.622229136,2,0.0518524,37.75,0.9705867229999999,11,0.28281999999999996
17123,IL,Marshall,3,0.24970867300000002,0,0.0,12,0.9988346929999999,1,0.083236224,12.0,0.9734728640000001,3,0.24336820000000003
17125,IL,Mason,2,0.143905598,0,0.0,8,0.575622392,0,0.0,14.66666667,1.02370815,3,0.2093949
17127,IL,Massac,2,0.13418316,0,0.0,5,0.33545790000000003,0,0.0,11.16666667,0.733009496,4,0.2625706
17129,IL,Menard,3,0.23866348399999998,0,0.0,4,0.318217979,1,0.079554495,10.0,0.7860399309999999,2,0.157208
17131,IL,Mercer,2,0.12543117,0,0.0,11,0.689871433,2,0.12543117,13.83333333,0.8529091390000001,4,0.2466243
17133,IL,Monroe,5,0.14827115800000001,1,0.029654200000000002,10,0.296542317,1,0.029654200000000002,17.41666667,0.522129288,6,0.17987229999999998
17135,IL,Montgomery,4,0.136244422,1,0.0340611,28,0.9537109570000001,3,0.102183317,33.08333333,1.1169255009999999,6,0.2025658
17137,IL,Morgan,5,0.143147528,1,0.028629500000000002,20,0.572590111,1,0.028629500000000002,35.08333333,0.994651092,9,0.2551599
