FIPS,State,County,Adult Diabetes Rate (2008),Adult diabetes rate (2013),Adult obesity rate (2008),Adult obesity rate (2013),"High schoolers physically active (%), 2015",Recreation & fitness facilities (2009),Recreation & fitness facilities (2014),"Recreation & fitness facilities (% change), 2009-14","Recreation & fitness facilities/1,000 pop (2009)","Recreation & fitness facilities/1,000 pop (2014)","Recreation & fitness facilities/1,000 pop (% change), 2009-14"
17001,IL,Adams,9.0,10.1,26.5,37.0,26.8,7,9,28.57142857,0.10441683199999999,0.134352421,28.66931391
17003,IL,Alexander,11.0,11.4,28.2,28.4,26.8,0,0,0.0,0.0,0.0,0.0
17005,IL,Bond,8.8,10.0,27.9,29.6,26.8,1,1,0.0,0.0563476,0.0579072,2.7679657189999998
17007,IL,Boone,7.2,9.4,27.0,33.7,26.8,3,2,-33.33333333,0.0553976,0.037127099999999996,-32.98062584
17009,IL,Brown,7.9,8.2,28.1,27.6,26.8,1,1,0.0,0.143616257,0.14637002300000002,1.917447307
17011,IL,Bureau,9.0,11.3,26.7,29.1,26.8,1,3,200.0,0.028524200000000003,0.08865248199999999,210.79787230000002
17013,IL,Calhoun,9.6,11.4,26.7,29.1,26.8,1,1,0.0,0.196772924,0.201775626,2.542372881
17015,IL,Carroll,9.6,12.2,26.7,28.6,26.8,0,0,0.0,0.0,0.0,0.0
17017,IL,Cass,8.6,10.6,27.6,28.0,26.8,0,1,,0.0,0.076010946,
17019,IL,Champaign,7.4,7.4,26.8,25.1,26.8,21,21,0.0,0.105016803,0.101384135,-3.4591301239999996
17021,IL,Christian,8.9,10.5,27.1,31.7,26.8,5,3,-40.0,0.143645139,0.088516464,-38.37837838
17023,IL,Clark,9.0,11.5,27.4,32.7,26.8,3,1,-66.66666667,0.182581705,0.061804700000000004,-66.14956737
17025,IL,Clay,8.9,10.8,27.4,31.0,26.8,2,1,-50.0,0.144654998,0.073964497,-48.868343200000005
17027,IL,Clinton,8.5,8.7,27.6,29.5,26.8,2,3,50.0,0.05339169999999999,0.079245582,48.42301292
17029,IL,Coles,7.4,8.9,26.6,26.3,26.8,8,5,-37.5,0.14922032400000002,0.09377344300000001,-37.15772693
17031,IL,Cook,8.7,8.5,25.2,25.3,26.8,417,502,20.38369305,0.080475085,0.095683639,18.8984627
17033,IL,Crawford,8.7,10.6,27.2,31.3,26.8,2,0,-100.0,0.10078105300000001,0.0,-100.0
17035,IL,Cumberland,9.0,11.1,27.4,27.8,26.8,0,0,0.0,0.0,0.0,0.0
17037,IL,DeKalb,6.9,8.3,26.6,28.3,26.8,10,9,-10.0,0.095105853,0.085338795,-10.26967059
17039,IL,De Witt,8.6,10.8,26.8,30.5,26.8,3,2,-33.33333333,0.181400411,0.122819946,-32.29345779
17041,IL,Douglas,8.7,10.8,28.3,30.5,26.8,1,1,0.0,0.0501278,0.050279000000000004,0.301674292
17043,IL,DuPage,7.5,8.1,24.6,23.0,26.8,113,141,24.77876106,0.12380414,0.151172714,22.10634855
17045,IL,Edgar,9.5,10.1,27.5,30.3,26.8,3,3,0.0,0.160702807,0.168152009,4.635390393
17047,IL,Edwards,9.1,10.5,27.2,31.3,26.8,0,0,0.0,0.0,0.0,0.0
17049,IL,Effingham,8.6,10.7,27.1,31.8,26.8,3,2,-33.33333333,0.08752735199999999,0.058275099999999996,-33.42074592
17051,IL,Fayette,8.3,10.3,26.9,33.0,26.8,1,2,100.0,0.0452714,0.091449474,102.00274350000001
17053,IL,Ford,9.3,10.6,27.5,28.2,26.8,3,1,-66.66666667,0.213007668,0.073056692,-65.70231833
17055,IL,Franklin,9.5,11.6,27.0,30.2,26.8,6,4,-33.33333333,0.151967985,0.101494507,-33.2132315
17057,IL,Fulton,8.9,11.6,27.4,30.7,26.8,3,2,-33.33333333,0.080884335,0.0555448,-31.32816767
17059,IL,Gallatin,9.5,10.8,26.7,28.4,26.8,0,0,0.0,0.0,0.0,0.0
17061,IL,Greene,9.2,11.5,28.2,28.7,26.8,1,0,-100.0,0.071808129,0.0,-100.0
17063,IL,Grundy,7.5,8.6,28.4,30.4,26.8,15,6,-60.0,0.30179872,0.11898859699999999,-60.57352504
17065,IL,Hamilton,9.5,11.1,27.0,28.2,26.8,0,0,0.0,0.0,0.0,0.0
17067,IL,Hancock,9.2,11.2,26.6,28.6,26.8,1,0,-100.0,0.0524109,0.0,-100.0
17069,IL,Hardin,9.1,13.0,27.2,30.6,26.8,0,0,0.0,0.0,0.0,0.0
17071,IL,Henderson,9.5,11.8,27.7,30.4,26.8,0,0,0.0,0.0,0.0,0.0
17073,IL,Henry,8.8,11.1,27.0,30.5,26.8,3,4,33.33333333,0.059363599999999996,0.080588295,35.75366845
17075,IL,Iroquois,9.3,12.4,27.7,33.9,26.8,2,1,-50.0,0.066972508,0.0346272,-48.2963399
